"","Package","Maintainer","Depends","LinkingTo","Version","SystemRequirements"
"55","Rhdf5lib","Mike Smith <grimbough@gmail.com>","R (>= 4.0.0)","NA","1.14.1","GNU make"
"56","Rhtslib","Bioconductor Package Maintainer
<maintainer@bioconductor.org>","NA","zlibbioc","1.24.0","libbz2 & liblzma & libcurl (with header files), GNU
make"
"57","Rsamtools","Bioconductor Package Maintainer
<maintainer@bioconductor.org>","methods; GenomeInfoDb (>= 1.1.3); GenomicRanges (>= 1.31.8); Biostrings (>= 2.47.6); R (>= 3.5.0)","Rhtslib (>= 1.17.7); S4Vectors; IRanges; XVector; Biostrings","2.8.0","GNU make"
"58","S4Vectors","Bioconductor Package Maintainer
<maintainer@bioconductor.org>","R (>= 4.0.0); methods; utils; stats; stats4; BiocGenerics (>=
0.37.0)","NA","0.30.0",NA
"59","ShortRead","Bioconductor Package Maintainer
<maintainer@bioconductor.org>","BiocGenerics (>= 0.23.3); BiocParallel; Biostrings (>=
2.47.6); Rsamtools (>= 1.31.2); GenomicAlignments (>= 1.15.6)","S4Vectors; IRanges; XVector; Biostrings; Rhtslib; zlibbioc","1.50.0",NA
"60","SummarizedExperiment","Bioconductor Package Maintainer
<maintainer@bioconductor.org>","R (>= 4.0.0); methods; MatrixGenerics (>= 1.1.3); GenomicRanges (>= 1.41.5); Biobase","NA","1.22.0",NA
"61","UniProt.ws","Bioconductor Package Maintainer
<maintainer@bioconductor.org>","methods; utils; RSQLite; RCurl; BiocGenerics (>= 0.13.8)","NA","2.32.0",NA
"62","VariantAnnotation","Bioconductor Package Maintainer
<maintainer@bioconductor.org>","R (>= 4.0.0); methods; BiocGenerics (>= 0.37.0); MatrixGenerics; GenomeInfoDb (>= 1.15.2); GenomicRanges (>=
1.41.5); SummarizedExperiment (>= 1.19.5); Rsamtools (>=
1.99.0)","S4Vectors; IRanges; XVector; Biostrings; Rhtslib","1.38.0","GNU make"
"63","XVector","Hervé Pagès <hpages.on.github@gmail.com>","R (>= 4.0.0); methods; BiocGenerics (>= 0.37.0); S4Vectors (>=
0.27.12); IRanges (>= 2.23.9)","S4Vectors; IRanges","0.32.0",NA
"64","zlibbioc","Bioconductor Package Maintainer
<maintainer@bioconductor.org>","NA","NA","1.38.0",NA
"65","BiocCaseStudies","Bioconductor Package Maintainer
<maintainer@bioconductor.org>","tools; methods; utils; Biobase","NA","1.54.0",NA
"66","HCABrowser","Bioconductor Package Maintainer
<maintainer@bioconductor.org>","R (>= 3.6.0); dplyr; AnVIL","NA","1.8.0",NA
"67","HCAExplorer","Bioconductor Package Maintainer
<maintainer@bioconductor.org>","R (>= 3.6.0); dplyr","NA","1.6.0",NA
